label,initial_state,t,delta,mu_power_reference
P0.5,1,163,1.1934897514720433e-15,2.7966233925915356e-22
P0.5,1,164,1.1934897514720433e-15,2.0668132529407828e-22
P0.5,1,165,1.1934897514720433e-15,1.5274552282755548e-22
P0.5,1,166,1.1934897514720433e-15,1.12884870999672e-22
P0.5,1,167,1.1934897514720433e-15,8.342630189559793e-23
P0.5,1,168,1.1934897514720433e-15,6.165527573660132e-23
P0.5,1,169,1.1934897514720433e-15,4.5565642246895784e-23
P0.5,1,170,1.1934897514720433e-15,3.367477849327909e-23
P0.5,1,171,1.1934897514720433e-15,2.4886968572217728e-23
P0.5,1,172,1.1934897514720433e-15,1.8392435894958208e-23
P0.5,1,173,1.1934897514720433e-15,1.3592724126625203e-23
P0.5,1,174,1.1934897514720433e-15,1.0045550803479297e-23
P0.5,1,175,1.1934897514720433e-15,7.424052015270189e-24
P0.5,1,176,1.1934897514720433e-15,5.48666264336124e-24
P0.5,1,177,1.1934897514720433e-15,4.054856687444716e-24
P0.5,1,178,1.1934897514720433e-15,2.9966965028567023e-24
P0.5,1,179,1.1934897514720433e-15,2.2146750483289492e-24
P0.5,1,180,1.1934897514720433e-15,1.6367308351096551e-24
P0.5,1,181,1.1934897514720433e-15,1.2096076255611698e-24
P0.5,1,182,1.1934897514720433e-15,8.939469926450706e-25
P0.5,1,183,1.1934897514720433e-15,6.606615308732224e-25
P0.5,1,184,1.1934897514720433e-15,4.882545184074976e-25
P0.5,1,185,1.1934897514720433e-15,3.608390432998946e-25
P0.5,1,186,1.1934897514720433e-15,2.666740608858313e-25
P0.5,1,187,1.1934897514720433e-15,1.9708248336706756e-25
P0.5,1,188,1.1934897514720433e-15,1.4565160601337721e-25
P0.5,1,189,1.1934897514720433e-15,1.0764219108587191e-25
P0.5,1,190,1.1934897514720433e-15,7.955175791678659e-26
P0.5,1,191,1.1934897514720433e-15,5.879183732522177e-26
P0.5,1,192,1.1934897514720433e-15,4.3449450101290233e-26
P0.5,1,193,1.1934897514720433e-15,3.2110830346419845e-26
P0.5,1,194,1.1934897514720433e-15,2.3731150178720876e-26
P0.5,1,195,1.1934897514720433e-15,1.7538241232923878e-26
P0.5,1,196,1.1934897514720433e-15,1.2961441111271524e-26
P0.5,1,197,1.1934897514720433e-15,9.57900814852412e-27
P0.5,1,198,1.1934897514720433e-15,7.079258881923052e-27
P0.5,1,199,1.1934897514720433e-15,5.231847132837859e-27
P0.5,1,200,1.1934897514720433e-15,3.8665381331482226e-27
P0.5,2,0,0.7706766917293234,0.7706766917293234
P0.5,2,1,0.4956766917293234,0.5695599931039298
P0.5,2,2,0.3200516917293234,0.42092694540512154
P0.5,2,3,0.2075673167293235,0.31108135317319513
P0.5,2,4,0.1352825511043234,0.22990119627273617
P0.5,2,5,0.09384071391858571,0.16990590888361054
P0.5,2,6,0.06650665166272633,0.12556706246677848
P0.5,2,7,0.047341510494513406,0.0927989337165235
P0.5,2,8,0.033836450648474556,0.06858201450083391
P0.5,2,9,0.024274609709231273,0.05068477109188059
P0.5,2,10,0.017474456545409953,0.03745801343594387
P0.5,2,11,0.012618311186600006,0.02768292606123895
P0.5,2,12,0.009137183305232333,0.020458757019309937
P0.5,2,13,0.0066330207869924745,0.015119815652768858
P0.5,2,14,0.004825927428655466,0.01117413072348151
P0.5,2,15,0.003518130444514808,0.008258116387985714
P0.5,2,16,0.0025692434697398014,0.006103068593444047
P0.5,2,17,0.001879188461970327,0.0045104046136322795
P0.5,2,18,0.0013763397044314757,0.0033333641048256817
P0.5,2,19,0.0010092485164672066,0.0024634854757281414
P0.5,2,20,0.0007408370490596394,0.0018206113998581242
P0.5,2,21,0.0005443041397174414,0.0013455025012126946
P0.5,2,22,0.0004002247790534652,0.0009943785812341365
P0.5,2,23,0.0002944861255312903,0.0007348843736269714
P0.5,2,24,0.00021681277645047015,0.0005431080805570414
P0.5,2,25,0.0001597090886196889,0.0004013779551612555
P0.5,2,26,0.00011769799192036523,0.00029663389048491685
P0.5,2,27,8.677146723924667e-05,0.0002192239604909706
P0.5,2,28,6.399271125145933e-05,0.00016201501714717368
P0.5,2,29,4.720738836827554e-05,0.00011973538714660761
P0.5,2,30,3.483358471823017e-05,8.848909926741385e-05
P0.5,2,31,2.570870645446366e-05,6.539687953378847e-05
P0.5,2,32,1.897768655734211e-05,4.833083270327463e-05
P0.5,2,33,1.4011226982746372e-05,3.571836158612205e-05
P0.5,2,34,1.0345924419313812e-05,2.6397255810378737e-05
P0.5,2,35,7.640369394698587e-06,1.9508596793793403e-05
P0.5,2,36,5.642923440629666e-06,1.4417610360587924e-05
P0.5,2,37,4.168046115388124e-06,1.0655173752725497e-05
P0.5,2,38,3.0788893915500992e-06,7.874587040521233e-06
P0.5,2,39,2.2744912391847727e-06,5.819625516935713e-06
P0.5,2,40,1.6803474398308094e-06,4.300929176741626e-06
P0.5,2,41,1.2414668474070023e-06,3.178553625059951e-06
P0.5,2,42,9.172536184903768e-07,2.3490745213888685e-06
P0.5,2,43,6.777343071473485e-07,1.7360572631315172e-06
P0.5,2,44,5.007754716734869e-07,1.283013711753068e-06
P0.5,2,45,3.7003114919387237e-07,9.481969399886555e-07
P0.5,2,46,2.7342835848265246e-07,7.007543479604595e-07
P0.5,2,47,2.0204935279044545e-07,5.178846666509637e-07
P0.5,2,48,1.49306531582738e-07,3.827368731036591e-07
P0.5,2,49,1.103332851748462e-07,2.8285740719157836e-07
P0.5,2,50,8.15341972826289e-08,2.0904260452970047e-07
P0.5,2,51,6.025287725697215e-08,1.5449059984829635e-07
P0.5,2,52,4.4526633519170744e-08,1.1417455066244825e-07
P0.5,2,53,3.290526878751976e-08,8.437942523216707e-08
P0.5,2,54,2.4317226815506743e-08,6.235967088287906e-08
P0.5,2,55,1.7970710572412507e-08,4.608621760484017e-08
P0.5,2,56,1.3280630456469211e-08,3.405950389170208e-08
P0.5,2,57,9.814632925819744e-09,2.5171295576815486e-08
P0.5,2,58,7.253223979764023e-09,1.8602564589021316e-08
P0.5,2,59,5.360305491142192e-09,1.3748017388801029e-08
P0.5,2,60,3.961404829166959e-09,1.01603185527614e-08
P0.5,2,61,2.927588046985896e-09,7.50886983731044e-09
P0.5,2,62,2.1635733482572306e-09,5.549346306503997e-09
P0.5,2,63,1.5989469470678586e-09,4.10118234790709e-09
P0.5,2,64,1.1816726069868722e-09,3.03093296431537e-09
P0.5,2,65,8.732947837097882e-10,2.239977122417302e-09
P0.5,2,66,6.45394196419069e-10,1.6554300500955664e-09
P0.5,2,67,4.769684924799122e-10,1.2234270713452717e-09
P0.5,2,68,3.5249640706336294e-10,9.041600995548325e-10
P0.5,2,69,2.6050739343475016e-10,6.682094133556171e-10
P0.5,2,70,1.9252439920069975e-10,4.938326965732021e-10
P0.5,2,71,1.4228254685555441e-10,3.64961533511013e-10
P0.5,2,72,1.0515205373096137e-10,2.697207411882379e-10
P0.5,2,73,7.771128185396492e-11,1.99334098383651e-10
P0.5,2,74,5.7431573385891e-11,1.4731563691904833e-10
P0.5,2,75,4.24441176649637e-11,1.0887197452337547e-10
P0.5,2,76,3.136782500412494e-11,8.046061561768858e-11
P0.5,2,77,2.3182053499049005e-11,5.946351844833531e-11
P0.5,2,78,1.7132462115654334e-11,4.3945848526147436e-11
P0.5,2,79,1.2661552362125406e-11,3.2477688052735126e-11
P0.5,2,80,9.357389862962862e-12,2.4002272265221502e-11
P0.5,2,81,6.9155792203901e-12,1.773861097989406e-11
P0.5,2,82,5.111008838376563e-12,1.3109522132700228e-11
P0.5,2,83,3.777339552257786e-12,9.688445771912604e-12
P0.5,2,84,2.7917113065711874e-12,7.160137534010724e-12
P0.5,2,85,2.063293980114622e-12,5.291619596465822e-12
P0.5,2,86,1.524932957686076e-12,3.9107123041554655e-12
P0.5,2,87,1.1270567812360355e-12,2.8901682078748287e-12
P0.5,2,88,8.330280909518706e-13,2.135946502874821e-12
P0.5,2,89,6.157435672449196e-13,1.5785473837517095e-12
P0.5,2,90,4.551359289450829e-13,1.1666077963074344e-12
P0.5,2,91,3.364392098248459e-13,8.621684495594192e-13
P0.5,2,92,2.487177130916507e-13,6.371759538797072e-13
P0.5,2,93,1.8388068845354155e-13,4.708977652916703e-13
P0.5,2,94,1.3598844272877386e-13,3.4801172895258434e-13
P0.5,2,95,1.0057232824323137e-13,2.571941776227185e-13
P0.5,2,96,7.43988204376933e-14,1.900764816235233e-13
P0.5,2,97,5.5039306445792135e-14,1.404738987496668e-13
P0.5,2,98,4.075906279155106e-14,1.0381566441773593e-13
P0.5,2,99,3.0184188481996443e-14,7.672380616204351e-14
P0.5,2,100,2.2398749521812533e-14,5.670187119647394e-14
P0.5,2,101,1.6639467581569534e-14,4.1904883998991225e-14
P0.5,2,102,1.2365108936762681e-14,3.096933603627018e-14
P0.5,2,103,9.2148511043888e-15,2.288754157034563e-14
P0.5,2,104,6.869504964868156e-15,1.691478172217825e-14
P0.5,2,105,5.1486592766991635e-15,1.2500680329932653e-14
P0.5,2,106,3.885780586188048e-15,9.238488044233619e-15
P0.5,2,107,2.942091015256665e-15,6.82760130575288e-15
P0.5,2,108,2.275957200481571e-15,5.0458624146204095e-15
P0.5,2,109,1.7763568394002505e-15,3.729088206399209e-15
P0.5,2,110,1.3877787807814457e-15,2.755940948927321e-15
P0.5,2,111,1.1102230246251565e-15,2.036747347767438e-15
P0.5,2,112,9.020562075079397e-16,1.5052353571843864e-15
P0.5,2,113,7.216449660063518e-16,1.1124273626778354e-15
P0.5,2,114,6.106226635438361e-16,8.221270058053621e-16
P0.5,2,115,5.412337245047638e-16,6.075837725237904e-16
P0.5,2,116,4.718447854656915e-16,4.490279944916916e-16
P0.5,2,117,4.718447854656915e-16,3.318491193398945e-16
P0.5,2,118,4.718447854656915e-16,2.4524938168125986e-16
P0.5,2,119,4.718447854656915e-16,1.8124881372198193e-16
P0.5,2,120,4.718447854656915e-16,1.3394990947753301e-16
P0.5,2,121,4.718447854656915e-16,9.89941830822764e-17
P0.5,2,122,4.718447854656915e-16,7.316054428368954e-17
P0.5,2,123,4.718447854656915e-16,5.4068482341403205e-17
P0.5,2,124,4.718447854656915e-16,3.995870740609533e-17
P0.5,2,125,4.718447854656915e-16,2.9531035982921576e-17
P0.5,2,126,4.718447854656915e-16,2.1824581995652356e-17
P0.5,2,127,4.718447854656915e-16,1.6129213332048855e-17
P0.5,2,128,4.718447854656915e-16,1.1920114793610568e-17
P0.5,2,129,4.718447854656915e-16,8.809427575151569e-18
P0.5,2,130,4.718447854656915e-16,6.510508962836442e-18
P0.5,2,131,4.718447854656915e-16,4.8115188635788695e-18
P0.5,2,132,4.718447854656915e-16,3.5558992248878184e-18
P0.5,2,133,4.718447854656915e-16,2.6279475683386817e-18
P0.5,2,134,4.718447854656915e-16,1.942155270768413e-18
P0.5,2,135,4.718447854656915e-16,1.4353281401873873e-18
P0.5,2,136,4.718447854656915e-16,1.0607632154965036e-18
P0.5,2,137,4.718447854656915e-16,7.839451954196204e-19
P0.5,2,138,4.718447854656915e-16,5.793659324186215e-19
